venue_name,address,latitude,longitude,place_id
079 | Stories,"Rajpath Rangoli Rd, Opposite Shashwat Bunglows, PRL Colony, Bodakdev, Ahmedabad, Gujarat 380059, India",23.0353928,72.4947591,ChIJnR9Oy2ubXjkRY284aoj7GzQ
Archer Art Gallery,"1st Floor, Phoenix Near, Vijay Cross Rd, N.K.Group Society, Navarangpura, Roads, Navrangpura, Ahmedabad, Gujarat 380009, India",23.04166188,72.55184877,ChIJ____P6iGXjkR4q6fbSrzlS0
Arthshila Ahmedabad,"2G, opp. Ahmedabad Management Association, Panjara Pol, Ambawadi, Ahmedabad, Gujarat 380015, India",23.029595,72.5372661,ChIJ12bQOtaFXjkRiTIA02wI1gQ
Basera,"Byramjee Framjee Vakil's Block.A.D 1933, Near Al Amin Hospital, Gujarat Samachar Press, Khanpur, Ahmedabad- 380001",23.03008,72.57936,ChIJk8U8SF2FXjkRYrjYR2aYo_c
Conflictorium,"Conflictorium, Gool Lodge Mirzapur Road opp. RC High School Of Commerce, nr. Chalte Peer Ni Dargah, Old City, Delhi Chakla, Shahpur, Ahmedabad, Gujarat 380001, India",23.03534,72.58649,ChIJldlXYijAjzkRhy54ypRrmTg
Darpana Academy,"Usmanpura, Ahmedabad, Gujarat 380009, India",23.0477,72.57277,ChIJ14mXhmOEXjkRMQK9vcaESis
Hutheesing Visual Art Centre,"Kasturbhai Lalbhai Campus CEPT, 2GPX+VVW, Navrangpura, Ahmedabad, Gujarat 380009, India",23.03724,72.54969,ChIJ____P_WEXjkRWtTCavjNwSE
Iram Art Gallery,"Block A, Navratna Corporate Park, 502/503, Ambli - Bopal Rd, Ashok Vatika, Ahmedabad, Gujarat 380058, India",23.02874,72.49185,ChIJazh2JaKbXjkR8v7yOE_7KEk
Kanoria Centre for Arts,"CE chamdoriaPT Campus, University Rd, Navrangpura, Ahmedabad, Gujarat 380009, India",23.0375,72.54908,ChIJhz1fTOuEXjkR8yR6Jigm4pM
Kasturbhai Lalbhai Museum,"Kasturbhai Lalbhai Museum Lalbaug Near Shahibaug Underbridge, opp. Panchal Hall, Jain Colony, Shahibag, Ahmedabad, Gujarat 380004, India",23.05223,72.59307,ChIJMUvDzBaEXjkR1CRBatRqLls
Lalbhai Dalpatbhai Museum,"Gujarat University Clock Tower, L.D. Institute of Indology Campus, opp. L.D. Engineering Hostel, Navrangpura, Ahmedabad, Gujarat 380009, India",23.0331057,72.5498797,ChIJ_0oXeuyEXjkREWF0DvJjCyk
Mehnat Manzil: Museum of Work,"Bungalow No 1, Pathan Ni Chali, Near India Row Houses, Opp. APMC Market Gate, No.3, 132 Feet Ring Rd, Gupta Nagar, Vasna, Ahmedabad, Gujarat 380007, India",22.99835,72.53732,ChIJT6l8BiWFXjkRK92b51sN-vo
Samara Art Gallery,"8, Girivar Society, Navrangpura, Ahmedabad, Gujarat 380009, India",23.04347,72.55721,ChIJL9VbHwCFXjkRHyL8Af_LxAg
Shreyas Foundation,"Manek Baug Rd, opposite Manekbaug Post Office, Bhudarpura, Ambawadi, Ahmedabad, Gujarat 380015, India",23.01436,72.53993,ChIJy4mhHuSEXjkREGdk2PlpjB4
The House of MG,"Bhadra Rd, Opp. Sidi, Old City, Gheekanta, Lal Darwaja, Ahmedabad, Gujarat 380001, India",23.0273445,72.5818174,ChIJVVVVpVGEXjkR6JMuIgeY2CA
Vastushilpa Sangath LLP,"Sangath, Thaltej Road, Opposite T V Tower, Thaltej Rd, Nilmani Society, Thaltej, Ahmedabad, Gujarat 380054, India",23.04791,72.52645,ChIJ2RPPd66EXjkRnf41p4Kr4Pc